,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
406,Admonish,Black_metal,"Stockholm, Sweden",['Unblack metal'],['1994 onward'],['Momentum Scandinavia'],"['Emanuel Wärja: guitar/vocals', 'Robin Svedman: drums', 'Martin Norén: vocals', 'Jonas Karlsson: bass', 'Emil Karlsson: guitar']","['Per Sundström: drums, guitar', 'Andre: drums', 'Mattias: bass', 'Joakim Simonsson: keyboard', 'Marcus: keyboards', 'Joel: guitar', 'Samuel: guitar']"
407,Adorned Brood,Black_metal,"Neuss, Germany","['Folk metal, black metal']",['1993–present'],['Black Bards Entertainment'],"[""Markus 'Teutobot' Frost"", 'Anne', 'Thorsten Derks', 'Jan Jansohn', 'Niklas Enns', 'Mischa Kliege']",
408,Aes Dana,Black_metal,"Paris, France","['Celtic metal, black metal']",['1994–present'],"['Oaken Shield, Sacral, Trollzorn']","['Vidar', 'Taliesin', 'Iréel', 'Milambre', 'Myrddin', 'Wilfrid Rodel']",['(see below)']
409,Aeternus,Black_metal,"Bergen, Norway",['Blackened death metal'],['1993\xa0(1993)–present'],"['Hammerheart Records, Nocturnal Art Prod., DARK ESSENCE RECORDS']","['Ares', 'Specter', 'Phobos', 'Skyggen']","['Morrigan', 'Vrolok', 'Radek', 'Stian', 'S. Winter', ""V'gandr""]"
410,Agalloch,Black_metal,"Portland, Oregon, U.S.","['Black metal', 'folk metal', 'doom metal', 'post-metal', 'dark ambient']",['1995–2016'],"['The End, Profound Lore, Vendlus, Licht von Dämmerung Arthouse, Eisenwald Tonschmiede, Viva Hate Records']",,"['John Haughm', 'Don Anderson', 'Jason William Walton', 'Aesop Dekker', 'Shane Breyer', 'Chris Greene']"
411,Agathodaimon,Black_metal,"Mainz, Germany","['Symphonic black metal, gothic metal']",['1995–2014'],"['Nuclear Blast, E1 Music, Massacre']",,['See below']
412,Ajattara,Black_metal,"Helsinki, Finland","['Dark metal, black metal, dark folk']","['1996–2012, 2016-present']","['Spikefarm, Osasto-A']",['See below'],
413,Akercocke,Black_metal,"London, England, United Kingdom","['Blackened death metal, progressive death metal']","['1997–2012, 2016–present']","['Goat of Mendes, Peaceville, Earache']","['Jason Mendonça', 'David Gray', 'Paul Scanlan', 'Federico Benini', '']","['Rob Archibald', 'Peter Theobalds', 'Martin Bonsoir', 'Daniel ""The Ritz"" Reeves', 'Matt Wilcock', 'Peter Benjamin', 'Dan Knight', 'Nathanael Underwood', 'Michal Huk', '']"
414,Alastis,Black_metal,"Sion, Switzerland",['Black metalGothic metal'],['1987–2004'],['Head Not FoundAdipocere RecordsCentury Media Records'],"['War D.', 'Nick', 'Raff', 'Sebastian', 'Graven X']",
415,Alcest,Black_metal,"Bagnols-sur-Cèze, France","['Post-metal', 'shoegazing', 'alternative metal', 'blackgaze', 'post-black metal', 'black metal']",['2000–present'],"['Nuclear Blast Records', 'Hyperrealist', 'Drakkar Productions', 'Northern Silence Productions', 'Prophecy Productions']","['Neige', 'Winterhalter', '']","['Aegnor', 'Argoth', '']"
