,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
1758,Thorr's Hammer,Death_metal,"Ballard, Washington",['Death-doom'],['1994−1995'],['Southern Lord'],"['Runhild Gammelsæter', 'Greg Anderson', ""Stephen O'Malley"", 'James Hale', 'Jamie Sykes']",
1759,Threat Signal,Death_metal,"Hamilton, Ontario, Canada","['Metalcore, groove metal, melodic death metal']",['2003−present'],"['Nuclear Blast, Agonia']","['Jon Howard', 'Travis Montgomery', 'Matt Perrin', 'Ryan Miller']","['Norman Killeen', 'Adam Weber', 'Kyle McKnight', 'George Parfitt', 'Rich Howard', 'Marco Bressette', 'Adam Matthews ', 'Eric Papky', 'Alex Rüdinger', 'Chris Feener', 'Joey Muha', 'Pat Kavanagh']"
1760,Through the Eyes of the Dead,Death_metal,"Florence, South Carolina, United States","['Deathcore, melodic death metal']",['2003–present'],"['eOne Music, Good Fight Music, Prosthetic Records']","['Justin Longshore', 'Jake Ososkie', 'Steven Funderburk', 'Dan Rodriguez', 'Michael Ranne']","['Anthony Gunnells', 'Nate Johnson', 'Richard Turbvelle', 'Chris Anderson', 'Jeff Springs', 'Dayton Cantley', 'Josh Kulick', 'Chris Henckel']"
1761,Thy Disease,Death_metal,"Kraków, Poland",['Industrial metal (now)Blackened death metal (early)'],['1999–present'],"['Metal Mind Productions, Empire Records, Mystic Production, Armoury/Eagle Rock']",,
1762,Tiamat,Death_metal,"Stockholm, Sweden","['Gothic metal, gothic rock, death metal (early), symphonic black metal (early)']",['1987–present'],"['Century Media, Nuclear Blast, Napalm']","['Johan Edlund', 'Anders Iwers', 'Lars Sköld', 'Roger Öjersson']",
1763,Torture Killer,Death_metal,"Turku, Finland",['Death metal'],['2002–present'],"['Dynamic Arts, Karmageddon, Metal Blade']","['Tuomas Karppinen', 'Jari Laine', 'Kim Torniainen', 'Tuomo Latvala', 'Pessi Haltsonen']","['Chris Barnes', 'Matti Liuke', 'Taneli Hatakka', 'Juri Sallinen']"
1764,Torture Squad,Death_metal,"São Paulo, São Paulo, Brazil","['Death metal, thrash metal']",['1990–present'],['Brutal Records / Sony Music'],"['Castor', 'Amílcar Christófaro', 'May Puertas', 'Rene Simionato']","['Marcelo Dirceu ', ' Cristiano Fusco ', ' Marcelo Fusco ', ' Fúlvio Pelli ', ' Mauricio Nogueira ', ' Augusto Lopes ', ' Vitor Rodrigues ', ' André Evaristo']"
1765,Tourniquet,Death_metal,"Los Angeles, California, U.S.","['Christian metal, death metal, thrash metal, neoclassical metal, progressive metal, power metal, speed metal']",['1989–present'],"['Metal Blade, Intense, Benson']","['Ted Kirkpatrick', 'Aaron Guerra']","['Guy Ritter', 'Gary Lenaire', 'Victor Macias', 'Erik Mendez', 'Vince Dennis', 'Steve Andino', 'Luke Easter']"
1766,Trap Them,Death_metal,"Salem, New Hampshire, Seattle, Washington, United States","['Grindcore', 'crust punk', 'death metal']",['2001–2017'],"['Prosthetic, Southern Lord, Trash Art!, Deathwish']",,"['Ryan McKenney', 'Brian Izzi', 'Brad Fickeisen', 'Galen Baudhuin', 'Stephen LaCour', 'Mike Justian', 'Mike Sharp', 'Scott DeFusco', 'Nat Coghlan', 'Chris Maggio']"
1767,Tristwood,Death_metal,"Innsbruck, Tyrol, Austria",['Industrial metalBlack metalBlackened death metal'],['1996–present'],['Sound Riot Records'],"['Neru', 'Axumis', 'Yak', 'Deimon', 'Jegger']",
1768,Unanimated,Death_metal,"Stockholm, Sweden","['Melodic death metal, Melodic black metalMelodic black/death']","['1988−1996, 2007–present']","['Regain, Pavement Music, Crash Music Inc., No Fashion']","['Johan Bohlin', 'Richard Cabeza', 'Micke Broberg', 'Set Teitan', 'Anders Schultz']",
1769,Underoath,Death_metal,"Tampa, Florida, U.S.","['Christian hardcore', 'metalcore', 'post-hardcore', 'emo', 'screamo']","['1997–2013, 2015–present']","['Roadrunner', 'Solid State', 'Tooth & Nail', 'Takehold', 'Fearless']","['Aaron Gillespie', 'Christopher Dudley', 'Timothy McTague', 'Grant Brandell', 'James Smith', 'Spencer Chamberlain', '']",['Band members']
1770,Unleashed,Death_metal,"Stockholm, Sweden",['Death metal'],['1989–present'],"['Century Media, Steamhammer, Nuclear Blast']","['Johnny Hedlund', 'Fredrik Folkare', 'Tomas Olsson', 'Anders Schultz']","['Robert Sennebäck', 'Fredrik Lindgren']"
1771,Vader,Death_metal,"Olsztyn, Poland",['Death metal'],['1983–present'],"['Mystic', 'Metal Mind', 'Earache', 'Impact', 'Hammerheart', 'Metal Blade', 'Regain', 'Nuclear Blast']","['Piotr Wiwczarek', 'Marek Pająk', 'Tomasz Halicki', 'James Stewart', '']",
1772,Vastum,Death_metal,"San Francisco, California, U.S.",['Death metal'],['2009\xa0(2009)–present'],['20 Buck Spin'],"['Luca Indrio', 'Leila Abdul-Rauf', 'Daniel Butler', 'Adam Perry', 'Shelby Lermo', '']","['R.D. Davies', 'Kyle House', 'Chad Gailey', '']"
1773,Vile,Death_metal,"Concord, California, United States","['Melodic death metal, death metal (early)']",['1996–present'],['Willowtip/Listenable/Unique Leader'],"['Colin E. Davis ', ' Mike Hrubovcak ', ' ']","['Jeff Hughell ', ' Matt Faivre ', ' Mike Hamilton ', ' Aaron Strong ', ' Jimmy Tkacz ', ' Luke Jaeger ', ' Juan Urteaga']"
1774,Visceral Bleeding,Death_metal,"Kalmar, Sweden","['Technical death metal, brutal death metal']",['1999–present'],['Neurotic Records'],"['Tobias Persson', 'Johan Bergström']","['Martin Eklöv', 'Martin Pedersen', 'Niklas Dewerud', 'Dennis Röndum', 'Marcus Nilsson', 'Martin Bermheden', 'Calle Löfgren', 'Peter Persson', 'Benny Bats']"
1775,Vital Remains,Death_metal,"Providence, Rhode Island, United States",['Death metal'],['1988–present'],['Century Media'],"['Tony Lazaro', 'Gaeton Collier', 'Brian Werner', 'Dean Arnold', 'Chris Dovas']",
1776,Vomitory,Death_metal,"Forshaga, Sweden",['Death metal'],"['1989–2013, 2017, 2018–present']",['Metal Blade'],,"['Ulf Dalegren', 'Jussi Linna', 'Thomas Bergqvist', 'Bengt Sund', 'Ronnie Olson', 'Erik Rundqvist', 'Urban Gustafsson', 'Tobias Gustafsson', 'Peter Östlund', '']"
1777,Vorkreist,Death_metal,"Paris, France",['Death metal'],['1999–present'],['Xtreem music'],"['Saint Vincent', 'AK', 'EsX', 'LSK', 'D.Terror']","['SohR-KaSM', 'Silmaeth']"
1778,Waltari,Death_metal,"Helsinki, Finland","['Experimental metal, alternative metal, progressive metal']",['1986–present'],"['Stupido Records, The All Blacks, Spin Records, EMI, Edel Records, Parlophone, Vindauga, Bluelight Records, Dockyard 1']","['Kärtsy Hatakka', 'Jariot Lehtinen', 'Sami Yli-Sirniö', 'Ville Vehviläinen', 'Kimmo Korhonen', 'Nino Silvennoinen', 'Jani Hölli']","['Sale Suomalainen', 'Janne Parviainen', 'Roope Latvala', 'Mika Järveläinen', 'Janne Immonen']"
1779,War,Death_metal,"Pärlby / Finspång / Grangärde /     Stockholm, Sweden",['Black metal'],['1995–1999'],['Necropolis Records'],,"['Jim ""All"" Berger - vocals', 'David ""Blackmoon"" Parland', 'David ""Impious"" Larsson - bass guitar', 'Lars Szöke - drums, guitars']"
1780,Wayd,Death_metal,,,,,,
1781,Winter,Death_metal,"New York, New York, U.S.","['Death-doom, doom metal, death metal']","['1988-1992, 2010-present']","['Metal Mind Productions, Nuclear Blast']","['Stephen Flam', 'Joe Gonclaves', 'John Alman']",
1782,With Blood Comes Cleansing,Death_metal,"Albany, Georgia, United States",['Deathcore'],['2005–2010'],"['Blood & Ink, Victory']",,"['Dean Atkinson', 'Darrell Bentley', 'Hank Day', 'Scott Erickson', 'Spence Erickson', 'Matt Fiddler', 'Dennis Frazier', 'Tyler Holt', 'Doug McMillan', 'Josh Pearson', 'Michael Sasser', 'Jeremy Sims', 'Jon Stripling', 'Greg Titus']"
1783,Xenomorph,Death_metal,"Leiden, Netherlands",['Death metal'],,['System Shock RecordsUnder Her Black Wings'],,
1784,Xysma,Death_metal,"Finland, Naantali","[""Grindcore, death 'n' roll (early), garage rock, hard rock, stoner rock (later)""]","['1988–1998, 2006, 2011-present']",['Spinefarm'],"['Janitor Mustasch', 'Olivier Lawny', 'Dr. Heavenly', 'Marvellous Sidney Safe']","['Vesa Iitti', 'Thee Stranius']"
1785,Yyrkoon,Death_metal,France,"['Melodic death metal, thrash metal']",['1995–2007 (indefinite hiatus)'],['Velvet Music InternationalAnvil ProdOsmose Productions'],"['Stéphane Souteyrand', 'Laurent Harrouart']","['Victorien Vilchez', 'Geoffrey Gautier', 'Paul Banas', 'Sébastien Caron', 'Jérôme Barouin', 'Kristofer Laurent', 'François Falempin', 'Dirk Verbeuren']"
1786,Zao,Death_metal,"Parkersburg, West Virginia, US",['Metalcore'],['1993–present'],"['Ferret, Solid State, Steadfast, Tooth & Nail, Broken Circles']","['Dan Weyandt', 'Scott Mellinger', 'Martin Lunn', 'Jeff Gretz', 'Russ Cogdell', '']","['Eric Reeder', 'Roy Goudy', 'Mic Cox', 'Jesse Smith', 'Shawn Jonas', 'Ron Gray', 'Kevin Moran', 'Brett Detar', 'Rob Horner', 'Shawn Koschik', 'Stephen Peck', '']"
1787,Zonaria,Death_metal,"Umeå, Sweden",['Melodic death metal'],['2002 – present'],['Pivotal Rockordings  Swedmetal RecordsCentury Media RecordsListenable Records'],"['Simon Berglund ', 'Max Malmer ', 'Rickard Lundmark ', 'Sebastian Westermark']",
1788,Zyklon,Death_metal,Norway,"['Blackened death metal, industrial metal']",['1998–2010'],['Candlelight'],"['Secthdamon', 'Samoth', 'Destructhor', 'Trym Torson']","['Daemon', 'Cosmocrator']"
1789,Aarni,Doom_metal,Finland,['Avant-garde metalDoom metalFolk metal'],['1998 – present'],['Epidemie RecordsFireboxFiredoom'],['Master Warjomaa'],
1790,Abstrakt Algebra,Doom_metal,,,,,,
1791,Acid Bath,Doom_metal,"Houma, Louisiana, US","['Sludge metal, doom metal']",['1991–1997'],,,"['Sammy ""Pierre"" Duet ', ' Mike Sanchez ', ' Joseph Fontenot ', ' Jimmy Kyle ', ' ', ' Tommy Viator', 'Dax Riggs']"
1792,Acid King,Doom_metal,"San Francisco, California",['Stoner metaldoom metaloccult rock'],['1993–present'],"[""Small Stone, Leaf Hound, Man's Ruin, Sympathy for the Record Industry""]","['Lori S.', 'Rafa Martinez', 'Bil Bowman']","['Dale Crover', 'Peter Lucas', 'Dan Southwick', 'Brian Hill', 'Guy Pinhas', 'Joey Osbourne', 'Mark Lamb']"
1793,Acrimony,Doom_metal,"Swansea, Wales, United Kingdom","['Stoner rock, doom metal']",['1991–1999'],"['Godhead Records, Game Two Records, Peaceville Records, Leaf Hound Records, Shiver Records<music for nations>']","['Dorian ""Dexter"" Walters', ""Stuart O'Hara"", 'Matthew Lee ""Roy"" Davies', 'Darren Ivey', 'Paul ""Mead"" Bidmead']","['David ""Dai"" Jones']"
1794,Against Nature,Doom_metal,,,,,,
1795,Agalloch,Doom_metal,"Portland, Oregon, U.S.","['Black metal', 'folk metal', 'doom metal', 'post-metal', 'dark ambient']",['1995–2016'],"['The End, Profound Lore, Vendlus, Licht von Dämmerung Arthouse, Eisenwald Tonschmiede, Viva Hate Records']",,"['John Haughm', 'Don Anderson', 'Jason William Walton', 'Aesop Dekker', 'Shane Breyer', 'Chris Greene']"
1796,Ahab,Doom_metal,Germany,"['Funeral doom metal, progressive metal']",['2004–present'],['Napalm Records'],"['Daniel Droste', 'Chris R. Hector', 'Stephan Wandernoth', 'Cornelius Althammer']",['Stephan Adolph']
1797,Alice in Chains,Doom_metal,"Seattle, Washington, U.S.","['Heavy metal', 'alternative metal', 'grunge', 'sludge metal', 'hard rock']","['1987–2002', '2005–present']","['Columbia', 'Virgin', 'EMI', 'Capitol', 'BMG']","['Jerry Cantrell', 'Sean Kinney', 'Mike Inez', 'William DuVall', '']","['Layne Staley', 'Mike Starr', '']"
1798,Alkonost,Doom_metal,"Naberezhnye Chelny, Tatarstan, Russia",['Folk metaldoom metal'],['1995—present'],"['Ketzer Records, MetalAgen Records, Haarbn Productions, Metalism Records, Vic Records']","['Andrey Losev', 'Ksenia Pobuzhanskaya', 'Rustem Shagitov']","['Alyona Pelevina', 'Alexey Solovyov', 'Anton Chepigin', 'Almira Fatkhullina', 'Dmitriy Sokolov', 'Vladimir Pavlik', 'Maxim Shtanke', 'Sergey Medvedev']"
1799,Amorphis,Doom_metal,"Helsinki, Finland","['Progressive metal', 'folk metal', 'melodic death metal', 'power metal', 'death metal (early)', 'death-doom (early)']",['1990–present'],"['Virgin (2003), EMI, Relapse, Nuclear Blast, Mojo Records, Mystic Productions, Victor Records (JVC),  Spinefarm']",,
1800,Anathema,Doom_metal,"Liverpool, Merseyside, England","['Progressive pop', 'post-progressive', 'alternative rock', 'progressive rock', 'gothic metal (early)', 'death/doom (early)']",['1990–present'],"['Peaceville, Music for Nations, Kscope']","['Vincent Cavanagh', 'Daniel Cavanagh', 'John Douglas', 'Lee Douglas', 'Daniel Cardoso']","['Darren White', 'Jamie Cavanagh', 'Duncan Patterson', 'Shaun Steels', 'Martin Powell', 'Dave Pybus', 'Les Smith']"
1801,Ancestors,Doom_metal,"Los Angeles, United States","['Psychedelic rock, progressive rock, doom metal, stoner rock, post-metal']",['2006–present'],['Tee Pee RecordsNorth Atlantic Sound'],"['Justin Maranga', 'Nick Long', 'Jason Watkins', 'Matt Barks', 'Daniel Pouliot']","['Chico Foley', ' Brandon Pierce']"
1802,Angel Witch,Doom_metal,"London, England, UK","['Heavy metal, doom metal']","['1978–1982, 1984–1998, 2003–2005, 2008–present']","[""EMI, Bronze, Killerwatt, Metal Blade, Rise Above, Crook'd""]","['Kevin Heybourne', 'Will Palmer', 'Jimmy Martin', 'Fredrik Jansson']","['Steve Coleman', ' Rob Downing', 'Barry Clements', 'Steve Jones', 'Kevin Riddles', 'Dave Hogg', 'Dave Dufort', 'Ricky Bruce', 'Jerry Cunningham', 'Roger Marsden', 'Peter Gordelier', 'Dave Tattum', 'Spencer Hollman', 'Jon Torres', 'Grant Dennison', 'Tom Hunting', 'Doug Piercy', 'Lee Altus', 'Darren Minter', 'Chris Fullard', 'Myk Taylor', 'Richie Wicks', 'Scott Highham', 'Keith Herzberg', 'Andrew Prestidge', 'Bill Steer', 'Tom Draper']"
1803,Antestor,Doom_metal,"Jessheim, Norway","['Unblack metal, death metal, doom metal (early)']","['1990–2007, 2010–present']",['CacophonousEndtimeBombworksRowe'],"['Ronny Hansen', 'Lars Stokstad', 'Erik Normann Aanonsen', 'Henning Børven', '']","['Robert Bordevick', 'Morten Sigmund Mageroy', 'Nicholas Main Henriksen', 'Thor Georg Buer', 'Vegard Undal', 'Tony Kirkemo', 'Kjetil Molnes', 'Svein Sander', 'Erling Jorgensen', 'Stig Rolfsen', 'Paul W', 'Ole Børud', '']"
1804,Ascending King,Doom_metal,"Midlothian, Texas","['Black metal', 'unblack metal', 'doom metal', 'Christian metal', 'atmospheric black metal']",['2015–present'],"['SkyBurnsBlack, Nosral']",['Ruah'],
1805,Ashen Mortality,Doom_metal,"Halesowen/Birmingham, UK","['Doom metal, gothic metal, black metal']",['1993–2005'],['Forsaken Records'],,"['Ian Arkley', 'Melanie Bolton', 'Tim Cooper', 'Ben Jones', 'Andi Lee', 'Jasen Whyte', 'Neil Shilvock', 'George Aytoun']"
1806,Ashes You Leave,Doom_metal,"Rijeka, Croatia","['Doom metal, gothic metal, death metal']",['1995-present'],"[""Rock 'n' Growl RecordsSleaszy Rider Records""]","['Berislav Poje', 'Marta Batinic', 'Matija Rempesic', 'Luka Petrovic']","['Dunja Radetic', 'Neven Mendrila', 'Kristijan Milic', 'Vladimir Krytuija', 'Damir Cencic', 'Gordan Cencic', 'Dalibor ""Insanus"" Franjkic', 'Tamara Mulaosmanovic']"
1807,Ava Inferi,Doom_metal,"Almada, Portugal",['Gothic metalDoom metal'],['2005–2013'],['Season of Mist'],"['Carmen Susana Simões', 'Rune Eriksen', 'Joana Messias', 'João Samora (Bandido)']",
1808,Benea Reach,Doom_metal,"Oslo, Norway","['Metalcore', 'mathcore', 'extreme metal', 'progressive metal']",['2003–2014'],"['Tabu, Candlelight']","['Ilkka Volume', 'Mikael Wildén', 'Martin Sivertsen', 'Andreas Berglihn', 'Marco Storm', 'Thomas Wang']","['Christer Espevoll', 'Håkon Nakken', 'Tor Magne Glidje', 'Anders Lidal', 'Tor Erik Drangsland', 'Morten Holmquist', 'Håkon Sagen', 'Alwin Nedrum']"
1809,Bilocate,Doom_metal,Jordan,['Death-doomOriental blackened death metal'],['2002–present'],"['Code666 ,Kolony Records']","['Ramzi Essayed', 'Rami Haikal', 'Waseem Essayed', 'Hani Al Abadi', ""Baha' Farah"", 'Ahmad Klob']",['Ibrahim Al Qaisi']
1810,Black Boned Angel,Doom_metal,"Lower Hutt, Wellington, New Zealand",['Drone metaldoom metaldark ambientindustrial'],['2004–2013'],"['20 Buck Spin, Riot Season, Handmade Birds, Celebrate Psi Phenomenon']",,"['Jules Desmond', 'James Kirk', 'Campbell Kneale', 'Antony Milton']"
1811,Black Debbath,Doom_metal,,,,,,
1812,Black Sabbath,Doom_metal,"Aston, Birmingham, England",['Heavy metal'],"['1968–2006, 2011–2017']","['Vertigo/Mercury/Virgin EMI/Universal', 'Warner Bros.', 'I.R.S.', 'Sanctuary']","['Guitarists', 'Tony Iommi', 'Drummers', 'Bill Ward', 'Vinny Appice', 'Bev Bevan', 'Eric Singer', 'Terry Chimes', 'Cozy Powell', 'Bobby Rondinelli', 'Mike Bordin', 'Tommy Clufetos', 'Bassists', 'Geezer Butler', 'Geoff Nicholls', 'Craig Gruber', 'Gordon Copley', 'Dave Spitz', 'Bob Daisley', 'Jo Burt', 'Laurence Cottle', 'Neil Murray', 'Vocalists', 'Ozzy Osbourne', 'Dave Walker', 'Ronnie James Dio', 'Ian Gillan', 'Ron Keel', 'David Donato', 'Jeff Fenholt', 'Glenn Hughes', 'Ray Gillen', 'Tony Martin', 'Keyboardists', 'Geoff Nicholls', 'Adam Wakeman', '']",['List']
1813,Bloody Panda,Doom_metal,New York City,['Doom metal'],['2003-present'],"['Holy Roar, Level Plane, Profound Lore']","['Bryan Camphire', ' Lev Weinstein', ' Josh Rothenberger', ' Yoshiko Ohara', ' Blake McDowell', ' Gerry Mak', '']","['Michael Harriff', ' Dan Weiss', ' Richard Swartz', '\n']"
1814,Bongzilla,Doom_metal,"Madison, Wisconsin","['Stoner metal, sludge metal']","['1995–2009, 2015-present']","['Relapse, Ritual, Barbarian']","['Mike ""Muleboy"" Makela', ' Jeff ""Spanky"" Schultz', ' Cooter ""Black Bong"" Brown', ' Mike ""Magma"" Henry']","['Dave ""Dixie"" Collins', 'Nate ""Weed Dragon"" Dethlefsen', 'Nate Bush']"
1815,Boris,Doom_metal,"Tokyo, Japan","['Experimental rock', 'doom metal', 'psychedelia', 'noise']",['1992–present'],"['F.A.S.', 'Southern Lord', 'Hydra Head', 'Inoxia', 'Diwphalanx', 'Conspiracy', 'UK Quatro, Pedal', 'Sargent House']","['Atsuo', 'Takeshi', 'Wata', '']",['Nagata']
1816,Brainoil,Doom_metal,"Oakland, California, United States","['Sludge metal, doom metal, hardcore punk']",['1998 – present'],['Life Is Abuse Records'],"['Greg Wilkinson – Bass and vocals', 'Nathan Smith – Guitar and vocals', 'Ira Harris – Drums']",
1817,Burial Chamber Trio,Doom_metal,International,['Drone metal'],,['Southern Lord Records'],"['Greg Anderson', 'Attila Csihar', 'Oren Ambarchi']",
1818,Burning Witch,Doom_metal,"Seattle, Washington, United States","['Doom metal, sludge metal, drone metal']",['1995–1998'],"['Southern Lord, Hydra Head, Slap-a-Ham, Merciless Records']",,"[""Stephen O'Malley"", 'Greg Anderson', 'George Stuart Dahlquist', 'Edgy 59', 'Jamie Sykes', 'B.R.A.D']"
1819,Buzzov*en,Doom_metal,"Salisbury, North Carolina, United States","['Sludge metal, thrash metal, hardcore punk, noise rock']","['1990–1999, 2010-present']","['Relapse, Hydra Head, Roadrunner, Allied Recordings, Alternative Tentacles, PATAC Records']",['Kirk Fisher. Ash Lee.Igor'],"['Fred Hutch', 'Scott Majors', 'Brian Hill', 'Ashley Williamson', 'Buddy Apostolis', 'Dennis Woolard', '\n']"
1820,Candlemass,Doom_metal,"Stockholm, Sweden",['Epic doom metal'],"['1984–1994', '1997–2002', '2004–present']","['Capitol', 'Metal Blade', 'Restless', 'Nuclear Blast', 'Napalm Records']","['Leif Edling', 'Mats Björkman', 'Johan Längqvist', 'Jan Lindh', 'Lars Johansson']","['Klas Bergwall', 'Matz Ekström', 'Messiah Marcolin', 'Thomas Vikström', 'Björn Flodkvist', 'Jejo Perkovic', 'Michael Amott', 'Carl Westholm', 'Mats Ståhl', 'Robert Lowe', 'Mats Levén']"
1821,Catacombs,Doom_metal,"Arizona, United States",['Doom metalFuneral doomDeath/doom'],['2000-2016'],"['Cthulhu Productions, Black-Metal.com, Moribund Records, Solitude Productions']",['Xathagorra Mlandroth'],
1822,Cathedral,Doom_metal,"Coventry, England","['Doom metal', 'stoner metal']",['1989–2013'],"['Columbia/Sony', 'Dream Catcher', 'Earache', 'Nuclear Blast', 'Rise Above', 'Southern Lord', 'Ultimatum', 'Spitfire', 'Relativity']",,"['Lee Dorrian', 'Garry Jennings', 'Brian Dixon', 'Scott Carlson', 'Adam Lehan', 'Mark Griffiths', 'Ben Mochrie', 'Mike Smail', 'Mark Ramsey Wharton', 'Leo Smee']"
1823,Celtic Frost,Doom_metal,"Zürich, Switzerland",['Extreme metal'],"['1984–1987, 1988–1993, 2001–2008']","['Century Media, Noise, Metal Blade']",,"['Thomas Gabriel Fischer', 'Martin Eric Ain', 'Franco Sesa', 'Isaac Darso', 'Stephen Priestly', 'Reed St. Mark', 'Ron Marks', 'Dominic Steiner', 'Curt Victor Bryant', 'Oliver Amberg', 'Erol Unala']"
1824,Celestiial,Doom_metal,"Minnesota, United States",['Funeral doom metal'],['2004 — present'],['Bindrune'],"['Tanner Reed Anderson', 'Jason William Walton', 'Timothy Glenn']",
1825,Church of Misery,Doom_metal,"Tokyo, Japan","['Doom metal, stoner rock']",['1995–present'],"[""Doom Records, Bad Acid Trip, Game Two, Man's Ruin, Southern Lord, Kult of Nihilow, Diwphalanx, Dada Drumming, Calculon, A Pile of Dirt, Rise Above, Metal Blade""]","['Tatsu Mikami', 'Hiroyuki Takano', 'Yasuto Muraki', 'Junichi Yamamura']","['Hideki Fukasawa', 'Junji Narita', 'Ikuma Kawabe', 'Yoshiakki Negishi', 'Tom Sutton', 'Nobukazu Chow', 'Tomohiro Nishimura', 'Hideki Shimizu', 'Takenori Hoshi', 'Kensuke Suto', 'Scott Carlson']"
1826,Cirith Ungol,Doom_metal,"Ventura, California, United States",['Heavy metalepic doom metalpower metalprogressive rock (early)hard rock (early)'],"['1972–1992, 2016–present']","['Metal Blade, Liquid Flames, Restless']","['Tim Baker', 'Greg Lindstrom', 'Robert Garven', 'Jim Barraza']","['Neal Beattie', 'Jerry Fogle', '""Pterty Dactyl""', 'Michael Vujea', 'Bob Warrenburg', 'Vernon Green']"
1827,Confessor,Doom_metal,"North Carolina, United States","['Doom metal, progressive metal']","['1986–1994, 2002-present']",['CombatEaracheSeason of Mist'],"['Scott Jeffreys', 'Chris Nolan', 'Marcus Williams', 'Steve Shelton', 'Cary Rowells']","['Shawn McCoy', 'Ivan Colon', 'Graham Fry', 'Jim Shoaf', 'Brian Shoaf']"
1828,Corrupted,Doom_metal,"Osaka, Japan",['Sludge metaldoom metalambient'],['1994–present'],"['HG Fact, Nostalgia Blackrain']","['Chew Hasegawa', 'Mark Yokota', 'Ippei ""TEX"" Suda', 'Taiki']","['Hevi', 'Talbot', 'Monger', 'Lowell Isles', 'Shibata', 'Jose', 'Takehito Miyagi']"
1829,Count Raven,Doom_metal,"Stockholm, Sweden",['Doom metal'],"['1989–1998, 2003–present']","['Hellhound, Nuclear Blast, I Hate']","['Dan ""Fodde"" Fondelius', 'Jens Bock', 'Samuel Cornelsen']","['Christer ""Renfield"" Pettersson', 'Christian Linderson', 'Fredrik Jansson', 'Tommy ""Wilbur"" Eriksson', 'Patrick Lundin']"
1830,Crowbar,Doom_metal,"New Orleans, Louisiana, United States",['Sludge metal'],['1990–present'],"['Zoo, E1 Music, Gold Metal']","['Kirk Windstein', 'Tommy Buckley', 'Matt Brunson', 'Todd Strange']","['Jeff Golden', 'Craig Nunenmacher', 'Steve Gibb', 'Kevin Noonan', 'Matt Thomas', 'Jimmy Bower', 'Sammy Duet', 'Tony Costanza', 'Rex Brown', 'Pat Bruders']"
1831,Cryptal Darkness,Doom_metal,,,,,,
1832,Cult of Luna,Doom_metal,"Umeå, Sweden","['Post-metal, sludge metal']",['1998\xa0(1998)–present'],"['Earache, Indie, Metal Blade']","['Thomas Hedlund', 'Andreas Johansson', 'Fredrik Kihlberg', 'Magnus Líndberg', 'Johannes Persson', 'Kristian Karlsson', '']","['Marco Hildén', 'Axel Stattin', 'Klas Rydberg', 'Erik Olòfsson', 'Anders Teglund', '']"
1833,Danzig,Doom_metal,"Lodi, New Jersey, United States","['Heavy metal', 'gothic metal', 'hard rock', 'blues rock', 'industrial metal']",['1987–present'],"['Def American', 'American', 'Hollywood', 'E-Magine', 'Spitfire', 'Evilive', 'Megaforce', 'Restless', 'The End']","['Glenn Danzig', 'Tommy Victor', 'Johnny Kelly', 'Steve Zing', '']",['see Former members']
1834,Daylight Dies,Doom_metal,,,,,,
1835,Debris Inc.,Doom_metal,"Chicago, United States",['Doom metalPunk rock'],['2001–2008'],['Rise Above'],"['Jimmy Bower', 'Dave Chandler', 'Ron Holzner']",
1836,Deinonychus,Doom_metal,"Brunssum, Netherlands","['Black doom, death/doom, dark metal']",['1992–2008-present'],"['Cacophonous Rec, My Kingdom Music']",,"['William Sarginson', 'Maurice Swinkels', 'Fabien Pereira', 'John Bartels', 'Staff Glover', 'Jürgen   Bartsch', 'Alessio Fagrelli']"
1837,Demenzia,Doom_metal,"Sofia, Bulgaria","['Death metal', 'Melodic death metal', 'Doom metal', 'Metalcore']",['2003 – present'],"['(2006-2009) IMSB & Nox Studio, (2010) Zero Project Studio']","['Vladimir Bochev ""Valdemar""', 'Ivan Angelov', 'Deyan Videv', 'Iian Velev ""Drumzy""', '']","['Marin Ivanov', 'Georgi Gigov', 'Petar Svetlinov', 'Velizar ""Vile"" Gordeev', 'Zlatomir ""Pastora/Demented"" Zlatkov', 'Bobi Ivanov', 'Dani (Fallen Angles)', 'Dimitar Tomov (ex Enthrallment)', '']"
1838,Dirge,Doom_metal,"Paris, France","['Post-metal, industrial metal, doom metal, sludge metal']",['1994−2019'],,"['Marc T.', 'Alain B.', 'Stéphane L.', 'Luz']",
1839,Disembowelment,Doom_metal,"Melbourne, Victoria, Australia",['Death-doom'],['1989\xa0(1989)–1993\xa0(1993)'],['Relapse'],,"['Renato Gallina', 'Paul Mazziotta', 'Jason Kells', 'Matthew Skarajew']"
1840,Dolorian,Doom_metal,,,,,,
1841,Doomsword,Doom_metal,"Varese, Italy",,['1997–present'],,"['Deathmaster', 'Geilt', 'Wrathlord', 'The Ancient']","['Sacred Heart ', 'The Forger', 'Guardian Angel', 'Guardian Angel II', 'Nightcomer', 'Dark Omen', 'Soldier Of Fortune']"
1842,Down,Doom_metal,"New Orleans, Louisiana, U.S.",['Sludge metalgroove metal'],['1991–present'],['ElektraWarner Bros.Roadrunner'],"['Phil Anselmo', 'Jimmy Bower', 'Pepper Keenan', 'Pat Bruders', 'Bobby Landgraf', '']","['Kirk Windstein', 'Todd Strange', 'Rex Brown', '']"
